RF,RS,Id,NumId,Population
data/fastq/P11053_162/190110_A00621_0024_BH5CMTDRXX/P11053_162_S59_L001_R1_001.fastq.gz,data/fastq/P11053_162/190110_A00621_0024_BH5CMTDRXX/P11053_162_S59_L001_R2_001.fastq.gz,P11053_162,1,default
data/fastq/P11053_165/02-FASTQ/190110_A00621_0024_BH5CMTDRXX/P11053_165_S61_L001_R1_001.fastq.gz,data/fastq/P11053_165/02-FASTQ/190110_A00621_0024_BH5CMTDRXX/P11053_165_S61_L001_R2_001.fastq.gz,P11053_165,2,default
